soeknads_aar,fylkesnr,saksbehandlende_kommune,orgnr,komnr,gardsnr,bruksnr,festenr,miljoetema,tiltak,tiltaksklasse,sats,enhet,antall,beloep,aktivitetsomraade
2022,18,1833,999660347,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,25,ANTALL_DYR,47,1175,Opprettholde kulturlandskapet
2022,11,1108,999659748,,,,,Kulturlandskap,Drift av beitelag,Småfe,24,ANTALL_DYR,1665,39960,Opprettholde kulturlandskapet
2022,38,3812,999659209,3812,31,64,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, prioriterte områder",100,DEKAR,2,200,Avrenning
2022,38,3812,999659209,3812,31,64,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, prioriterte områder",140,DEKAR,14,1960,Avrenning
2022,38,3812,999659209,3812,31,64,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 3, prioriterte områder",235,DEKAR,9,2115,Avrenning
2022,15,1539,999654797,,,,,Kulturlandskap,Drift av beitelag,Småfe,20,ANTALL_DYR,736,14720,Opprettholde kulturlandskapet
2022,15,1539,999654797,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,25,ANTALL_DYR,403,10075,Opprettholde kulturlandskapet
2022,15,1520,999654339,1520,162,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,400,DEKAR,35,14000,Regionalt prioriterte kulturlandskap
2022,15,1520,999654339,1520,162,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,400,DEKAR,8,3200,Regionalt prioriterte kulturlandskap
2022,34,3426,999653170,,,,,Kulturlandskap,Drift av beitelag,Småfe,23,ANTALL_DYR,621,14283,Opprettholde kulturlandskapet
2022,34,3426,999653170,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,48,ANTALL_DYR,57,2736,Opprettholde kulturlandskapet
2022,34,3439,999645755,3439,49,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,1,110,Regionalt prioriterte kulturlandskap
2022,34,3439,999645755,3439,49,3,0,Kulturminner og kulturmiljøer,Skjøtsel av kulturhistoriske områder,Slått/rydding,110,DEKAR,40,4400,Nyere tids kulturminner
2022,46,4643,999642071,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,839,25170,Opprettholde kulturlandskapet
2022,50,5037,999641717,5037,348,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,216,DEKAR,53,11448,Regionalt prioriterte kulturlandskap
2022,50,5037,999641717,5037,348,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,216,DEKAR,4,864,Regionalt prioriterte kulturlandskap
2022,50,5037,999641717,5037,348,1,0,Utslipp til luft,Spredning av husdyrgjødsel om våren og eller i vekstsesongen,Spredning av husdyrgjødsel om våren og eller i vekstsesongen,25,DEKAR,477,11925,Miljøvennlig spredning av husdyrgjødsel
2022,30,3014,999640001,3014,225,2,0,Kulturlandskap,Skjøtsel av gårdsdammer,Skjøtsel av gårdsdammer,451,ANTALL,5,2255,Opprettholde kulturlandskapet
2022,30,3014,999640001,3014,225,2,0,Biologisk mangfold,Soner for pollinerende insekter,Lav sats,5,METER,3612,18060,Prioriterte naturverdier
2022,30,3014,999640001,3014,225,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 3, prioriterte områder",206,DEKAR,10,2060,Avrenning
2022,30,3014,999640001,3014,225,2,0,Avrenning til vann,"Grasdekt kantsone i åker, korn",Prioriterte områder,13,METER,3698,48074,Avrenning
2022,30,3014,999640001,3014,225,2,0,Avrenning til vann,Fangdam,Prioriterte områder,752,DEKAR,1,752,Avrenning
2022,46,4644,999639569,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,2409,72270,Opprettholde kulturlandskapet
2022,46,4644,999639569,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,35,ANTALL_DYR,34,1190,Opprettholde kulturlandskapet
2022,34,3453,999638198,3453,14,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,44,4840,Regionalt prioriterte kulturlandskap
2022,34,3453,999638198,3453,14,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,35,3850,Regionalt prioriterte kulturlandskap
2022,34,3453,999638198,3453,14,3,0,Kulturminner og kulturmiljøer,Skjøtsel av kulturhistoriske områder,Beiting,110,DEKAR,20,2200,Nyere tids kulturminner
2022,46,4643,999633218,4643,3,25,0,Kulturminner og kulturmiljøer,Skjøtsel av automatisk fredete kulturminner,Slått,1500,DEKAR,1,1500,Automatisk fredede kulturminner
2022,46,4617,999631827,4617,27,1,0,Biologisk mangfold,Skjøtsel av styvingstrær,Skjøtsel av styvingstrær,500,ANTALL,6,3000,Prioriterte naturverdier
2022,30,3047,999626998,,,,,Kulturlandskap,Drift av beitelag,Småfe,15,ANTALL_DYR,1184,17760,Opprettholde kulturlandskapet
2022,30,3047,999626998,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,20,ANTALL_DYR,997,19940,Opprettholde kulturlandskapet
2022,34,3438,999620264,3438,117,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,87,9570,Regionalt prioriterte kulturlandskap
2022,34,3438,999620264,3438,117,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,41,4510,Regionalt prioriterte kulturlandskap
2022,34,3438,999620264,3438,117,1,0,Kulturminner og kulturmiljøer,Skjøtsel av kulturhistoriske områder,Slått/rydding,110,DEKAR,20,2200,Nyere tids kulturminner
2022,34,3438,999620264,3438,117,1,0,Utslipp til luft,Spredning av husdyrgjødsel om våren og eller i vekstsesongen,Spredning av husdyrgjødsel om våren og eller i vekstsesongen,60,DEKAR,163,9780,Miljøvennlig spredning av husdyrgjødsel
2022,30,3019,999615996,3019,114,2,0,Kulturlandskap,Skjøtsel av gårdsdammer,Skjøtsel av gårdsdammer,451,ANTALL,1,451,Opprettholde kulturlandskapet
2022,30,3019,999615996,3019,114,2,0,Biologisk mangfold,Soner for pollinerende insekter,Høy sats,10,METER,3730,37300,Prioriterte naturverdier
2022,30,3019,999615996,3019,114,2,0,Biologisk mangfold,Soner for pollinerende insekter,Lav sats,5,METER,594,2970,Prioriterte naturverdier
2022,30,3019,999615996,3019,114,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, prioriterte områder",111,DEKAR,94,10434,Avrenning
2022,30,3019,999615996,3019,114,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, prioriterte områder",111,DEKAR,83,9213,Avrenning
2022,30,3019,999615996,3019,114,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, med dråg, prioriterte områder",111,DEKAR,26,2886,Avrenning
2022,30,3019,999615996,3019,114,2,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, med dråg, prioriterte områder",206,DEKAR,111,22866,Avrenning
2022,30,3019,999615996,3019,114,2,0,Avrenning til vann,Ingen jordarbeiding på flomutsatte arealer,Prioriterte områder,115,DEKAR,6,690,Avrenning
2022,30,3019,999615996,3019,114,2,0,Avrenning til vann,"Grasdekt kantsone i åker, korn",Prioriterte områder,13,METER,579,7527,Avrenning
2022,30,3019,999615996,3019,114,2,0,Avrenning til vann,Fangdam,Prioriterte områder,752,DEKAR,1,752,Avrenning
2022,30,3049,999615104,3049,62,1,0,Biologisk mangfold,Soner for pollinerende insekter,Høy sats,10,METER,96,960,Prioriterte naturverdier
2022,30,3049,999615104,3049,62,1,0,Biologisk mangfold,Soner for pollinerende insekter,Lav sats,5,METER,135,675,Prioriterte naturverdier
2022,30,3049,999615104,3049,62,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, prioriterte områder",111,DEKAR,8,888,Avrenning
2022,30,3049,999615104,3049,62,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 3, prioriterte områder",206,DEKAR,2,412,Avrenning
2022,30,3049,999615104,3049,62,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 4, prioriterte områder",206,DEKAR,6,1236,Avrenning
2022,30,3049,999615104,3049,62,1,0,Avrenning til vann,Gras på arealer utsatt for flom og erosjon,Prioriterte områder,186,DEKAR,4,744,Avrenning
2022,15,1525,999614558,,,,,Kulturlandskap,Drift av beitelag,Småfe,20,ANTALL_DYR,2716,54320,Opprettholde kulturlandskapet
2022,15,1525,999614558,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,25,ANTALL_DYR,293,7325,Opprettholde kulturlandskapet
2022,15,1525,999614558,,,,,Kulturlandskap,Drift av beitelag,Sau/geit/storfe med forsterket tilsyn,0,ANTALL_DYR,1525,0,Opprettholde kulturlandskapet
2022,11,1133,999608620,1133,108,2,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,153,DEKAR,3,459,Regionalt prioriterte kulturlandskap
2022,11,1133,999608620,1133,108,2,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,153,DEKAR,4,612,Regionalt prioriterte kulturlandskap
2022,11,1133,999608620,1133,108,2,0,Kulturlandskap,Drift av bratt areal,Innmarksbeite 1:5,132,DEKAR,54,7128,Regionalt prioriterte kulturlandskap
2022,11,1133,999608620,1133,108,2,0,Kulturlandskap,Drift av bratt areal,Innmarksbeite 1:3,132,DEKAR,95,12540,Regionalt prioriterte kulturlandskap
2022,11,1133,999608620,1133,108,2,0,Biologisk mangfold,Skjøtsel av styvingstrær,Skjøtsel av styvingstrær,600,ANTALL,4,2400,Prioriterte naturverdier
2022,11,1133,999608620,1133,108,2,0,Kulturminner og kulturmiljøer,Skjøtsel av enkeltstående automatisk fredete kulturminner,Beiting,500,ANTALL,3,1500,Automatisk fredede kulturminner
2022,30,3030,999608353,3030,298,2,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,190,DEKAR,11,2090,Regionalt prioriterte kulturlandskap
2022,30,3030,999608353,3030,298,2,0,Biologisk mangfold,Soner for pollinerende insekter,Høy sats,10,METER,1062,10620,Prioriterte naturverdier
2022,30,3030,999608353,3030,298,2,0,Avrenning til vann,Gras på arealer utsatt for flom og erosjon,Prioriterte områder,186,DEKAR,31,5766,Avrenning
2022,34,3432,999608000,,,,,Kulturlandskap,Drift av beitelag,Småfe,23,ANTALL_DYR,3318,76314,Opprettholde kulturlandskapet
2022,34,3432,999608000,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,48,ANTALL_DYR,486,23328,Opprettholde kulturlandskapet
2022,46,4650,999607896,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,567,17010,Opprettholde kulturlandskapet
2022,46,4650,999607896,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,35,ANTALL_DYR,120,4200,Opprettholde kulturlandskapet
2022,46,4646,999601987,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,1564,46920,Opprettholde kulturlandskapet
2022,46,4646,999601987,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,35,ANTALL_DYR,96,3360,Opprettholde kulturlandskapet
2022,30,3035,999601928,,,,,Kulturlandskap,Drift av beitelag,Småfe,15,ANTALL_DYR,3008,45120,Opprettholde kulturlandskapet
2022,30,3035,999601928,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,20,ANTALL_DYR,13,260,Opprettholde kulturlandskapet
2022,46,4601,999600727,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,781,23430,Opprettholde kulturlandskapet
2022,30,3052,999600506,,,,,Kulturlandskap,Drift av beitelag,Småfe,15,ANTALL_DYR,2161,32415,Opprettholde kulturlandskapet
2022,50,5029,999600441,,,,,Kulturlandskap,Drift av beitelag,Småfe,33,ANTALL_DYR,343,11319,Opprettholde kulturlandskapet
2022,50,5029,999600441,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,49,ANTALL_DYR,36,1764,Opprettholde kulturlandskapet
2022,50,5029,999600441,,,,,Kulturlandskap,Drift av beitelag,Sau/geit/storfe med forsterket tilsyn,0,ANTALL_DYR,379,0,Opprettholde kulturlandskapet
2022,11,1134,999600425,1134,99999,3044,0,Kulturlandskap,Drift av beitelag,Småfe,24,ANTALL_DYR,770,18480,Opprettholde kulturlandskapet
2022,11,1134,999600425,1134,99999,3044,0,Kulturlandskap,Drift av beitelag,Hest/storfe,24,ANTALL_DYR,32,768,Opprettholde kulturlandskapet
2022,46,4647,999599710,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,7623,228690,Opprettholde kulturlandskapet
2022,46,4647,999599710,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,35,ANTALL_DYR,882,30870,Opprettholde kulturlandskapet
2022,34,3432,999592880,,,,,Kulturlandskap,Drift av beitelag,Småfe,23,ANTALL_DYR,1874,43102,Opprettholde kulturlandskapet
2022,34,3432,999592880,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,48,ANTALL_DYR,228,10944,Opprettholde kulturlandskapet
2022,46,4647,999592120,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,1461,43830,Opprettholde kulturlandskapet
2022,38,3804,999585159,3804,500,1,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,150,DEKAR,63,9450,Regionalt prioriterte kulturlandskap
2022,38,3804,999585159,3804,500,1,0,Kulturlandskap,Skjøtsel av gårdsdammer,Skjøtsel av gårdsdammer,800,ANTALL,1,800,Opprettholde kulturlandskapet
2022,38,3804,999585159,3804,500,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, prioriterte områder",100,DEKAR,5,500,Avrenning
2022,38,3804,999585159,3804,500,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, prioriterte områder",140,DEKAR,72,10080,Avrenning
2022,38,3804,999585159,3804,500,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 3, prioriterte områder",235,DEKAR,45,10575,Avrenning
2022,38,3804,999585159,3804,500,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 4, prioriterte områder",290,DEKAR,33,9570,Avrenning
2022,38,3804,999585159,3804,500,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, med dråg, prioriterte områder",235,DEKAR,20,4700,Avrenning
2022,38,3804,999585159,3804,500,1,0,Avrenning til vann,Direktesådd høstkorn og høstoljevekster,Prioriterte områder,230,DEKAR,189,43470,Avrenning
2022,38,3804,999585159,3804,500,1,0,Avrenning til vann,Fangvekster som underkultur,Prioriterte områder,220,DEKAR,145,31900,Avrenning
2022,38,3804,999585159,3804,500,1,0,Utslipp til luft,Nedfelling eller nedlegging av husdyrgjødsel,Nedfelling eller nedlegging av husdyrgjødsel,45,DEKAR,218,9810,Miljøvennlig spredning av husdyrgjødsel
2022,38,3804,999585159,3804,500,1,0,Utslipp til luft,Spredning av husdyrgjødsel med tilførselsslange,Spredning av husdyrgjødsel med tilførselsslange,40,DEKAR,185,7400,Miljøvennlig spredning av husdyrgjødsel
2022,34,3436,999584578,3436,212,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,103,11330,Regionalt prioriterte kulturlandskap
2022,34,3436,999584578,3436,212,3,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,74,8140,Regionalt prioriterte kulturlandskap
2022,34,3436,999584578,3436,212,3,0,Kulturminner og kulturmiljøer,Skjøtsel av kulturhistoriske områder,Beiting,110,DEKAR,20,2200,Nyere tids kulturminner
2022,15,1554,999578845,1554,20,1,0,Utslipp til luft,Spredning av husdyrgjødsel om våren og eller i vekstsesongen,Spredning av husdyrgjødsel om våren og eller i vekstsesongen,72,DEKAR,341,24552,Miljøvennlig spredning av husdyrgjødsel
2022,46,4651,999577059,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,1114,33420,Opprettholde kulturlandskapet
2022,46,4651,999577059,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,35,ANTALL_DYR,134,4690,Opprettholde kulturlandskapet
2022,50,5021,999576273,,,,,Kulturlandskap,Drift av beitelag,Hest/storfe,49,ANTALL_DYR,114,5586,Opprettholde kulturlandskapet
2022,38,3803,999575110,3803,361,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, prioriterte områder",100,DEKAR,6,600,Avrenning
2022,38,3803,999575110,3803,361,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, prioriterte områder",140,DEKAR,68,9520,Avrenning
2022,38,3803,999575110,3803,361,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 3, prioriterte områder",235,DEKAR,32,7520,Avrenning
2022,38,3803,999575110,3803,361,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 4, prioriterte områder",290,DEKAR,48,13920,Avrenning
2022,38,3803,999575110,3803,361,3,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, med dråg, prioriterte områder",235,DEKAR,37,8695,Avrenning
2022,38,3803,999575110,3803,361,3,0,Avrenning til vann,Gras på arealer utsatt for flom og erosjon,Prioriterte områder,100,DEKAR,52,5200,Avrenning
2022,38,3803,999575110,3803,361,3,0,Avrenning til vann,Fangvekster som underkultur,Prioriterte områder,220,DEKAR,45,9900,Avrenning
2022,38,3803,999575110,3803,361,3,0,Plantevern,Ugrasharving i åker,Ugrasharving i åker,80,DEKAR,69,5520,Redusert bruk av kjemiske plantevernmidler
2022,34,3407,999575102,3407,167,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,31,3410,Regionalt prioriterte kulturlandskap
2022,34,3427,999571204,3427,114,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,85,9350,Regionalt prioriterte kulturlandskap
2022,34,3427,999571204,3427,114,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,110,DEKAR,13,1430,Regionalt prioriterte kulturlandskap
2022,34,3427,999571204,3427,114,1,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,80,DEKAR,12,960,Regionalt prioriterte kulturlandskap
2022,34,3427,999571204,3427,114,1,0,Kulturminner og kulturmiljøer,Skjøtsel av kulturhistoriske områder,Beiting,110,DEKAR,40,4400,Nyere tids kulturminner
2022,34,3427,999571204,3427,114,1,0,Kulturminner og kulturmiljøer,Skjøtsel av kulturhistoriske områder,Slått/rydding,110,DEKAR,80,8800,Nyere tids kulturminner
2022,18,1860,999566693,1860,71,10,0,Utslipp til luft,Spredning av husdyrgjødsel om våren og eller i vekstsesongen,Spredning av husdyrgjødsel om våren og eller i vekstsesongen,37,DEKAR,64,2368,Miljøvennlig spredning av husdyrgjødsel
2022,34,3430,999562914,3430,131,17,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,80,DEKAR,15,1200,Regionalt prioriterte kulturlandskap
2022,34,3430,999562914,3430,131,17,0,Biologisk mangfold,Skjøtsel av biologisk verdifulle arealer,Beiting,150,DEKAR,17,2550,Prioriterte naturverdier
2022,34,3430,999562914,3430,131,17,0,Kulturminner og kulturmiljøer,Drift av seter,"Levering til meieri, 6 uker eller mer",91000,ANDEL,1,91000,Setring
2022,34,3430,999562914,3430,131,17,0,Utslipp til luft,Spredning av husdyrgjødsel om våren og eller i vekstsesongen,Spredning av husdyrgjødsel om våren og eller i vekstsesongen,60,DEKAR,45,2700,Miljøvennlig spredning av husdyrgjødsel
2022,34,3405,999562477,3405,28,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,41,4510,Regionalt prioriterte kulturlandskap
2022,34,3405,999562477,3405,28,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, prioriterte områder",130,DEKAR,54,7020,Avrenning
2022,34,3405,999562477,3405,28,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, med dråg, prioriterte områder",160,DEKAR,84,13440,Avrenning
2022,46,4622,999562159,4622,110,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,423,DEKAR,16,6768,Regionalt prioriterte kulturlandskap
2022,46,4622,999562159,4622,110,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:3,634,DEKAR,6,3804,Regionalt prioriterte kulturlandskap
2022,46,4640,999560016,4640,81,6,0,Kulturlandskap,Drift av bratt fruktareal,Overflatedyrka og fulldyrka 1:5,1053,DEKAR,3,3159,Regionalt prioriterte kulturlandskap
2022,46,4640,999560016,4640,81,6,0,Kulturlandskap,Drift av bratt fruktareal,Overflatedyrka og fulldyrka 1:3,1580,DEKAR,3,4740,Regionalt prioriterte kulturlandskap
2022,50,5020,999558399,5020,19,2,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,184,DEKAR,7,1288,Regionalt prioriterte kulturlandskap
2022,50,5020,999558399,5020,19,2,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i utmark,Småfe,162,ANTALL_DYR,96,15552,Regionalt prioriterte kulturlandskap
2022,30,3048,999556973,3048,17,2,0,Avrenning til vann,"Grasdekt kantsone i åker, korn",Prioriterte områder,13,METER,425,5525,Avrenning
2022,30,3048,999556973,3048,17,2,0,Avrenning til vann,Fangdam,Prioriterte områder,752,DEKAR,7,5264,Avrenning
2022,50,5034,999556396,5034,18,2,0,Biologisk mangfold,Skjøtsel av biologisk verdifulle arealer,Beiting,124,DEKAR,62,7688,Prioriterte naturverdier
2022,50,5034,999556396,5034,18,2,0,Utslipp til luft,Spredning av husdyrgjødsel om våren og eller i vekstsesongen,Spredning av husdyrgjødsel om våren og eller i vekstsesongen,25,DEKAR,66,1650,Miljøvennlig spredning av husdyrgjødsel
2022,50,5034,999556396,5034,18,2,0,Utslipp til luft,Nedfelling eller nedlegging av husdyrgjødsel,Nedfelling eller nedlegging av husdyrgjødsel,70,DEKAR,240,16800,Miljøvennlig spredning av husdyrgjødsel
2022,50,5034,999556396,5034,18,2,0,Utslipp til luft,Spredning av husdyrgjødsel med tilførselsslange,Spredning av husdyrgjødsel med tilførselsslange,54,DEKAR,240,12960,Miljøvennlig spredning av husdyrgjødsel
2022,46,4640,999556388,,,,,Kulturlandskap,Drift av beitelag,Småfe,30,ANTALL_DYR,1826,54780,Opprettholde kulturlandskapet
2022,34,3412,999555608,3412,12,1,0,Kulturlandskap,Drift av bratt areal,Overflatedyrka og fulldyrka 1:5,110,DEKAR,1,110,Regionalt prioriterte kulturlandskap
2022,34,3412,999555608,3412,12,1,0,Biologisk mangfold,Soner for pollinerende insekter,Høy sats,10,METER,346,3460,Prioriterte naturverdier
2022,34,3412,999555608,3412,12,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, prioriterte områder",130,DEKAR,145,18850,Avrenning
2022,34,3412,999555608,3412,12,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 1, med dråg, prioriterte områder",160,DEKAR,40,6400,Avrenning
2022,34,3412,999555608,3412,12,1,0,Utslipp til luft,Spredning av husdyrgjødsel med rask nedmoldning,Spredning av husdyrgjødsel med rask nedmoldning,75,DEKAR,63,4725,Miljøvennlig spredning av husdyrgjødsel
2022,18,1856,999555349,,,,,Kulturlandskap,"Beiting av verdifulle jordbrukslandskap i innmark, dyr","Beiting av verdifulle jordbrukslandskap i innmark, dyr",400,ANTALL_DYR,216,25000,Regionalt prioriterte kulturlandskap
2022,18,1856,999555349,,,,,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i utmark,Småfe,300,ANTALL_DYR,216,"27391,30435",Regionalt prioriterte kulturlandskap
2022,18,1856,999555349,,,,,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i utmark,Hest/storfe,1000,ANTALL_DYR,18,"7608,695654",Regionalt prioriterte kulturlandskap
2022,18,1856,999555349,,,,,Kulturlandskap,Slått av verdifulle jordbrukslandskap,Slått av verdifulle jordbrukslandskap,350,DEKAR,36,12600,Regionalt prioriterte kulturlandskap
2022,18,1856,999555349,,,,,Kulturminner og kulturmiljøer,Skjøtsel av steingjerder,Skjøtsel av steingjerder,25,METER,1192,29800,Nyere tids kulturminner
2022,50,5006,999552579,5006,403,5,0,Biologisk mangfold,Soner for pollinerende insekter,Høy sats,10,METER,3105,30000,Prioriterte naturverdier
2022,50,5006,999552579,5006,403,5,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 2, prioriterte områder",113,DEKAR,14,1582,Avrenning
2022,50,5006,999552579,5006,403,5,0,Avrenning til vann,Ingen jordarbeiding om høsten,"Erosjonsklasse 3, prioriterte områder",270,DEKAR,12,3240,Avrenning
