komnr,gardsnr,bruksnr,festenr,bruksnavn,jordbruksareal,annetareal,skogareal,fulldyrket,overflatedyrket,innmarksbeite,koordsys,nord,ost
0301,25,11,0,,0,0,28,0,0,0,22,6655145,592494
0301,25,12,0,,0,0,4,0,0,0,22,,
0301,25,14,0,,0,4,37,0,0,0,22,6655032,592289
0301,25,15,0,,0,0,88,0,0,0,22,6655176,592069
0301,25,19,0,PARSELL V,0,4,20,0,0,0,22,6655472,592650
0301,25,20,0,,0,5,28,0,0,0,22,6655113,592423
0301,25,24,0,,0,0,16,0,0,0,22,,
0301,25,25,0,,0,0,15,0,0,0,22,6655334,592598
0301,25,26,0,SØRKEDALEN ØST,0,1,15,0,0,0,22,,
0301,25,29,0,SVARTORSETER,28,4,15,0,0,28,22,6655351,591936
0301,26,1,0,Finnerud,135,53,811,4,2,129,22,6655989,591386
0301,27,2,0,Voksen,0,4,0,0,0,0,22,6648120,591698
0301,27,18,0,RØDKLEIVA,0,0,47,0,0,0,22,,
0301,27,164,0,ØGAARDEN,0,10,291,0,0,0,22,,
0301,27,259,0,,0,8,206,0,0,0,22,,
0301,27,261,0,PARSELL 6,0,3,11,0,0,0,22,6651483,591410
0301,27,319,0,,0,4,7,0,0,0,22,,
0301,27,320,0,,0,0,20,0,0,0,22,,
0301,27,680,0,,0,0,27,0,0,0,22,,
0301,27,1297,0,,0,1,0,0,0,0,22,6646638,593406
0301,27,1328,0,GRAVLUND,28,12,33,28,0,0,22,6648164,591794
0301,27,1355,0,,0,0,14,0,0,0,22,6651467,592121
0301,27,1569,0,,0,0,27,0,0,0,22,,
0301,27,2286,0,,0,4,482,0,0,0,22,6650843,591571
0301,28,309,0,SEKSJON 1-285,0,38,13,0,0,0,22,6645452,591790
0301,28,977,0,,0,4,0,0,0,0,22,6645657,591423
0301,29,4,0,Nordre Huseby,10,224,259,10,0,0,22,6646078,592545
0301,29,588,0,,0,2,35,0,0,0,22,,
0301,33,3,0,Holmen skog,0,82,771,0,0,0,22,6649335,593888
0301,33,18,0,,0,1,165,0,0,0,22,,
0301,33,26,0,,0,6,20,0,0,0,22,,
0301,33,84,0,,0,2,36,0,0,0,22,6649598,593108
0301,33,1098,0,,0,30,14,0,0,0,22,,
0301,33,1104,0,KONGSSÆTEREN,0,10,58,0,0,0,22,,
0301,33,1150,0,,0,4,8,0,0,0,22,6650991,600201
0301,33,1155,0,PARS.19,0,4,3,0,0,0,22,6650530,592111
0301,33,1159,0,"PARS.8,9",0,4,8,0,0,0,22,6650862,592232
0301,33,1163,0,TROLDSTUPET,0,3,7,0,0,0,22,6650411,592073
0301,33,2121,0,,0,10,27,0,0,0,22,6650229,591974
0301,35,10,0,,0,2,10,0,0,0,22,6648550,594328
0301,35,135,0,,0,2,0,0,0,0,22,,
0301,35,467,0,,0,0,4,0,0,0,22,6649570,594455
0301,35,471,0,,0,3,5,0,0,0,22,6648998,594644
0301,35,507,0,,0,1,11,0,0,0,22,6649118,594638
0301,37,40,0,,0,0,20,0,0,0,22,6653036,593658
0301,37,41,0,,0,0,36,0,0,0,22,6653197,593372
0301,37,42,0,,0,4,33,0,0,0,22,6653253,593267
0301,37,47,0,,0,3,35,0,0,0,22,6652735,593993
0301,37,49,0,,0,1,34,0,0,0,22,,
0301,37,50,0,,0,3,34,0,0,0,22,6652631,594021
0301,37,51,0,,0,33,54,0,0,0,22,6652538,593827
0301,37,147,0,,0,0,5,0,0,0,22,,
0301,37,148,0,,0,0,5,0,0,0,22,,
0301,37,149,0,,0,0,8,0,0,0,22,,
0301,37,150,0,,0,0,6,0,0,0,22,,
0301,37,184,0,,0,0,16,0,0,0,22,6653078,593559
0301,37,226,0,,0,1,25,0,0,0,22,6653472,593464
0301,39,202,0,LØRENSETER. Se merkn.,12,10,114,0,5,7,22,,
0301,42,1,0,Gaustad,162,355,2964,162,0,0,22,6647439,594395
0301,46,1,0,PRESTEGÅRDEN,25,54,640,0,0,25,22,6645626,596237
0301,47,215,0,,0,18,0,0,0,0,22,6646454,596968
0301,49,37,0,,0,275,0,0,0,0,22,6647589,596486
0301,51,44,0,,0,1,0,0,0,0,22,6648368,596633
0301,52,77,0,,0,2,0,0,0,0,22,6648094,597251
0301,54,2,0,Sommero (Lille Brennenga),67,10,44,67,0,0,22,6650274,598787
0301,58,63,0,,0,2,0,0,0,0,22,,
0301,59,434,0,,0,0,0,0,0,0,22,6648438,598640
0301,60,1,0,BRENNENGEN,460,124,1145,450,3,7,22,,
0301,61,1,0,SKJERVEN,26,58,2578,26,0,0,22,6651499,597554
0301,61,5,0,Skjerven,345,73,370,290,0,55,22,6651163,597857
0301,62,3,0,Kirkeby,7,25,30,7,0,0,22,6652144,597796
0301,62,4,0,Kirkeby,,0,0,,,,22,6653321,598406
0301,62,5,0,Kirkeby,244,83,256,204,0,40,22,,
0301,63,1,0,Ødegården,326,176,1754,281,2,43,22,6652713,598776
0301,64,1,0,Hauger,113,52,295,60,1,52,22,6654482,599305
0301,64,2,0,Kasa,68,17,124,68,0,0,22,6653132,598811
0301,65,3,0,Petersberg (Turterbakken),0,4,12,0,0,0,22,6653369,598264
0301,65,5,0,Katnosberget,17,4,7,17,0,0,22,6654375,598787
0301,66,1,0,Skar,187,34,235,162,0,25,22,6654744,599269
0301,66,31,0,,0,3,1,0,0,0,22,6654912,599238
0301,67,8,0,,0,2,39,0,0,0,22,6655764,592994
0301,67,13,0,,0,4,18,0,0,0,22,6655770,592740
0301,67,17,0,,0,47,52,0,0,0,22,6656646,592675
0301,67,18,0,,0,9,29,0,0,0,22,6656493,592948
0301,67,19,0,,0,6,34,0,0,0,22,6656441,593022
0301,67,20,0,,0,2,83,0,0,0,22,6656112,592790
0301,67,28,0,,33,8,76,1,6,26,22,6658083,600881
0301,67,34,0,V/BJØRNHOLT,3,7,70,0,3,0,22,6658446,593973
0301,69,1,0,Øvre Vaggestein,100,424,3091,86,0,14,22,6655019,599462
0301,69,9,0,SØRBRÅTEN,109,53,220,85,0,24,22,6654440,599897
0301,69,11,0,IKKE MÅLT,9,5,9,9,0,0,22,,
0301,69,51,0,,144,28,417,144,0,0,22,6655102,599683
0301,69,88,0,,0,5,61,0,0,0,22,,
0301,69,153,0,,0,2,3,0,0,0,22,6656966,600717
0301,69,309,0,,0,3,1,0,0,0,22,6656665,600571
0301,70,2,0,Nes,331,71,430,311,6,14,22,6652443,599229
0301,71,2,0,,0,50,113,0,0,0,22,,
0301,71,4,0,SANDER,279,59,874,264,15,0,22,6651772,600347
0301,75,1,0,GREFSENÅSEN,0,1498,14446,0,0,0,22,6648822,601091
0301,85,111,0,,65,185,492,0,0,65,22,,
0301,86,2,0,Disen,0,1,113,0,0,0,22,,
0301,86,458,0,,0,41,127,0,0,0,22,,
0301,86,825,0,,0,1,0,0,0,0,22,,
0301,87,1,0,Årvoll,0,25,518,0,0,0,22,6647619,602155
0301,87,33,0,,0,2,247,0,0,0,22,,
0301,88,1,0,LINDERUD GÅRD,12,24,9,12,0,0,22,,
0301,89,24,0,,0,24,0,0,0,0,22,6646614,603076
0301,90,1,0,RØDTVEIT,0,16,536,0,0,0,22,6647995,602551
0301,92,1,0,Nordtvet,0,34,0,0,0,0,22,6647329,604659
0301,95,2,0,Vestre Huken,0,12,4,0,0,0,22,6649503,604503
0301,95,4,0,HUKEN,0,0,288,0,0,0,22,6649534,603954
0301,95,26,0,,0,0,44,0,0,0,22,,
0301,95,31,0,,0,1,67,0,0,0,22,6649383,603842
0301,96,1,0,ROMSAAS,0,66,1107,0,0,0,22,6648746,606145
0301,97,3,0,Rommen,0,0,81,0,0,0,22,,
0301,97,5,0,Bakken,0,3,48,0,0,0,22,,
0301,98,1,0,BÅNKALL,0,220,320,0,0,0,22,6650755,607374
0301,98,2,0,ENGEN,0,11,23,0,0,0,22,,
0301,98,3,0,Engen,0,82,110,0,0,0,22,,
0301,100,1,0,Øvre Fossum,0,78,116,0,0,0,22,,
0301,100,39,0,,0,81,9,0,0,0,22,,
0301,100,76,0,STOVNER VG.SKOLE,0,14,0,0,0,0,22,6648582,607648
0301,104,3,0,Sletta,0,43,4,0,0,0,22,,
0301,105,117,0,,0,0,25,0,0,0,22,,
0301,105,150,0,,5,5,4,0,0,5,22,6646588,605569
0301,105,379,0,,0,28,1372,0,0,0,22,6645312,606114
0301,105,402,0,AREAL:SE MERKN.,0,17,0,0,0,0,22,,
0301,105,718,0,,0,11,0,0,0,0,22,6645992,605516
0301,109,1,0,Ellingsrud,243,5735,32805,177,13,53,22,6638383,605431
0301,109,68,0,Ellingsrud gård,0,18,0,0,0,0,22,6645325,607449
0301,112,5,0,JERIKO,0,0,39,0,0,0,22,,
0301,112,7,0,GRØNLIEN,0,0,22,0,0,0,22,6644482,605945
0301,112,46,0,,31,17,4,31,0,0,22,6646216,618148
0301,112,219,0,LINNEBERG,3,1,10,3,0,0,22,6645877,605156
0301,113,1,0,Søndre Lindeberg,0,28,509,0,0,0,22,6645082,605570
0301,114,1,0,KJELSRUD,0,73,1,0,0,0,22,6645767,604003
0301,116,2,0,KAGGEN,0,19,0,0,0,0,22,6645609,604748
0301,117,1,0,Arveset,0,29,0,0,0,0,22,,
0301,133,44,0,,0,3,0,0,0,0,22,6643108,600178
0301,139,48,0,,0,1,0,0,0,0,22,6643715,601941
0301,140,41,0,,0,65,0,0,0,0,22,,
0301,141,82,0,,0,1,0,0,0,0,22,,
0301,141,109,0,,0,23,0,0,0,0,22,6644298,603867
0301,143,1,0,Øvre Hellerud,0,15,8,0,0,0,22,,
0301,143,237,0,,0,1,0,0,0,0,22,6642546,603811
0301,143,521,0,,0,1,0,0,0,0,22,6642809,603742
0301,144,1168,0,,0,27,197,0,0,0,22,,
0301,144,1604,0,,0,9,0,0,0,0,22,6640923,602863
0301,147,1,0,Søndre Østensjø,134,33,11,128,0,6,22,,
0301,151,178,0,,0,4,0,0,0,0,22,6640722,599321
0301,156,14,0,,0,3,0,0,0,0,22,6638360,599795
0301,157,1,0,Nordseter,0,70,26,0,0,0,22,,
0301,158,483,0,,0,1,0,0,0,0,22,6638263,600970
0301,160,1,0,Nordre Abildsø,101,45,0,86,0,15,22,,
0301,160,442,0,,13,32,13,11,0,2,22,,
0301,160,475,0,,0,1,0,0,0,0,22,,
0301,160,683,0,,33,118,0,24,0,9,22,6640386,602076
0301,164,88,0,,0,0,0,0,0,0,22,6639861,603040
0301,165,1,0,Bråten,22,59,282,2,0,20,22,6639721,604181
0301,167,1,0,Rustad,10,153,464,0,0,10,22,,
0301,168,1,0,Skulerud,1,97,592,1,0,0,22,6648992,603523
0301,168,110,0,,3,5,2,3,0,0,22,6637543,603083
0301,168,125,0,,0,2,0,0,0,0,22,6637636,602755
0301,170,1,0,Lille Li,31,14,52,26,5,0,22,,
0301,172,10,0,GJERSRUD GÅRD ØVRE  1291 OSLO,0,7,3,0,0,0,22,,
0301,172,26,0,,5,3,9,5,0,0,22,,
0301,172,34,0,,5,2,1,5,0,0,22,,
0301,172,102,0,IKKE MÅLT,0,2,125,0,0,0,22,,
0301,172,114,0,,4,2,4,4,0,0,22,,
0301,172,130,0,,0,1,2,0,0,0,22,,
0301,173,1,0,Store Stensrud,14,17,2,5,6,3,22,,
0301,173,8,0,,0,4,19,0,0,0,22,6634283,604784
0301,173,9,0,,6,4,5,6,0,0,22,,
0301,174,3,0,HANÅEN,5,13,1,5,0,0,22,6633390,606282
0301,174,62,0,,3,6,7,3,0,0,22,,
0301,174,99,0,,5,24,4,5,0,0,22,,
0301,175,1,0,Maurtu,3,88,208,3,0,0,22,6633034,603925
0301,175,3,0,Holstad,0,66,0,0,0,0,22,,
0301,175,4,0,Bjerke,0,48,51,0,0,0,22,,
0301,175,5,0,Langbråten,16,34,52,16,0,0,22,,
0301,175,10,0,,1,4,7,1,0,0,22,,
0301,175,18,0,,5,2,1,1,0,4,22,,
0301,175,33,0,,8,2,1,0,0,8,22,,
0301,175,47,0,,0,46,0,0,0,0,22,,
0301,180,5,0,Vestre Leirskallen,0,14,35,0,0,0,22,,
0301,183,148,0,,0,1,0,0,0,0,22,,
0301,187,238,0,,0,15,12,0,0,0,22,,
0301,191,1,0,AAS SØNDRE,107,118,114,95,0,12,22,6633438,600299
0301,200,2,0,BLEIKØYA,5,40,0,5,0,0,22,,
0301,218,232,0,,0,0,0,0,0,0,22,6644475,597941
0301,221,180,0,,0,2,0,0,0,0,22,6645946,597879
0301,222,183,0,,0,2,0,0,0,0,22,,
0301,230,2,0,,0,22,0,0,0,0,22,6642648,599244
0301,230,278,0,,0,12,0,0,0,0,22,6642698,598684
0301,230,461,0,,0,0,0,0,0,0,22,6642852,598704
0301,232,2,0,,0,4,0,0,0,0,22,0,0
0301,232,313,0,,0,0,0,0,0,0,22,,
0301,233,103,0,,0,11,0,0,0,0,22,6641947,598918
0301,236,104,0,AREAL - SE MERKN.,0,8,0,0,0,0,22,6641749,599763
0301,250,31,0,RIKSVEIGRUNN,0,12,14,0,0,0,22,,
0301,99999,3001,0,SLAKTERILEVERANDØR,0,0,0,,,,22,,
0301,99999,3002,0,SKOG,0,0,0,,,,22,,
0301,99999,3003,0,DIVERSE,0,0,0,,,,22,,
0301,99999,3005,0,STILK SØKNADER,0,0,0,,,,22,,
0301,99999,3006,0,,0,0,0,,,,22,,
0301,99999,3007,0,ORGANISERT BEITEBRUK,0,0,0,,,,22,,
0301,99999,3008,0,OMRÅDETILTAK,0,0,0,,,,22,,
0301,99999,3009,0,FAKTURAER,0,0,0,,,,22,,
0301,99999,3011,0,SLAKTERILEVERANDØR SONE 0,0,0,0,,,,22,,
0301,99999,3021,0,LEVERANDØR SONE 0,0,0,0,,,,22,,
0301,99999,3022,0,TEST AV DATAFLYT,,,,,,,22,,
0301,99999,3031,0,NORGES VETERINÆRHØYSKOLE,0,0,0,,,,22,,
0301,99999,3092,0,"TEST \GÅRD\""""",0,0,0,,,,22,,
0301,99999,3093,0,Hesteier,,,,,,,22,,
0412,669,8,0,SØRBO,2,3,0,2,0,0,22,6743760,593787
0419,16,8,0,SUNDBY,3,2,0,3,0,0,22,,
0521,115,7,0,STYKKET,39,5,2,27,0,12,22,6804081,568863
0528,149,23,0,BJERKVANG,3,2,0,3,0,0,22,6731176,597996
0620,32,6,0,MYREKVARVBAKKEN SØNDRE,0,0,0,0,0,0,22,6727396,445769
0633,40,15,0,TUFTELIEN,2,0,0,0,0,2,22,6681995,485273
0701,12,2,0,GLENNE NEDRE,0,1,9,0,0,0,22,6583165,582046
0710,216,172,0,,0,0,0,0,0,0,22,6574578,567032
0817,7,18,0,KAASA,0,0,0,0,0,0,22,,
0829,18,10,0,NYKÅS,19,8,31,19,0,0,22,6577705,488161
0833,82,5,1,Stridsmo samdrift,0,8,0,0,0,0,22,6605543,433054
0904,7,7,0,FRIVOLD VESTRE,26,16,24,26,0,0,22,6467654,473914
0919,102,2,0,KOVELAND,4,159,604,4,0,0,22,6484760,466579
0940,57,5,0,SANDNES,6,3,70,3,0,3,22,6559243,416118
1101,1,1,0,YSTEBRØD,39,360,0,14,0,25,22,6481449,319307
1101,1,3,0,YSTEBRØD,21,6,0,9,0,12,22,6481457,319465
1101,1,4,0,YSTEBRØD,19,21,0,3,0,16,22,6481652,319492
1101,1,5,0,YSTEBRØD,8,19,0,6,0,2,22,6481445,319450
1101,1,7,0,YSTEBRØD,2,0,0,0,0,2,22,6481432,319380
1101,1,8,0,YSTEBRØD,37,198,0,15,0,22,22,6481358,319450
1101,1,9,0,YSTEBRØD,15,230,0,12,0,3,22,6481396,319459
1101,1,10,0,ROLIGHEDEN,11,14,0,6,0,5,22,6481423,319414
1101,1,105,0,,2,0,0,2,0,0,22,6481449,319307
1101,2,1,0,MIDBRØD,18,124,0,14,0,4,22,6481894,319430
1101,2,2,0,MIDBRØD,22,110,0,12,0,10,22,6482074,319212
1101,2,6,0,MIDBRØD,7,17,0,7,0,0,22,6482283,319158
1101,2,13,0,MIDBRØD,91,229,4,55,0,36,22,6481804,318919
1101,2,14,0,MIDBRØD,15,4,0,13,0,2,22,6482244,319164
1101,2,15,0,MIDBRØD,15,29,0,14,0,1,22,6482155,319086
1101,2,20,0,MIDBRØD,25,4,0,18,0,7,22,6481929,319022
1101,2,22,0,MIDBRØD,35,52,3,19,0,16,22,6481982,319088
1101,2,26,0,MIDBRØD,119,71,1,35,4,80,22,6481725,318615
1101,2,29,0,NYMARK,0,3,1,0,0,0,22,6481586,318617
1101,2,33,0,STRANNVOLL,2,3,0,2,0,0,22,6482161,319405
1101,2,36,0,STRANDBAKKEN,0,5,0,0,0,0,22,6482172,319323
1101,3,1,0,SEGLEIM,47,65,0,27,0,20,22,6482244,318772
1101,3,2,0,SEGLEIM,51,46,2,43,0,8,22,6483016,319259
1101,3,3,0,SEGLEIM,65,27,0,39,0,26,22,6482480,318706
1101,3,4,0,SEGLEIM,43,33,0,20,0,23,22,6482307,318888
1101,3,6,0,SEGLEIM,26,23,0,17,2,7,22,6482557,318753
1101,3,8,0,SEGLEIM,163,81,0,102,0,61,22,6482414,319091
1101,3,9,0,SEGLEIM,47,42,0,18,0,29,22,6482318,318693
1101,3,10,0,SEGLEIM,39,42,0,24,0,15,22,6482319,319020
1101,3,11,0,SEGLEIM,108,123,2,50,0,58,22,6482239,318658
1101,3,12,0,SEGLEIM,107,136,0,51,0,56,22,6482175,318899
1101,3,13,0,SEGLEIM,63,41,0,21,0,42,22,6482191,318731
1101,3,14,0,SEGLEIM,132,94,0,55,0,77,22,6482333,318604
1101,3,18,0,THORNES,40,25,0,20,0,20,22,6482518,319186
1101,4,1,0,SKADBERG,63,66,49,55,0,8,22,6484115,320479
1101,4,3,0,SKADBERG,102,0,0,57,0,45,22,6484010,320574
1101,4,4,0,ROLADSGAARD,68,33,0,54,1,13,22,6483906,320496
1101,4,6,0,SKADBERG,22,16,15,15,0,7,22,6483944,320187
1101,4,7,0,SKADBERG,19,5,0,12,0,7,22,6484087,320315
1101,4,8,0,SKADBERG,236,188,15,155,0,81,22,6483935,320360
1101,4,9,0,SKADBERG,56,,,26,,30,22,6484013,320409
1101,4,11,0,SKADBERG,52,0,0,29,0,23,22,6484031,320206
1101,4,12,0,SKADBERG,0,0,0,0,0,0,22,6484047,320319
1101,4,13,0,SKADBERG,33,4,0,15,0,18,22,6484063,320176
1101,4,15,0,SKADBERG,0,1,0,0,0,0,22,6483896,320409
1101,4,22,0,HAUANE,75,42,2,33,0,42,22,6483590,319093
1101,4,24,0,SOLSTRAND,3,2,0,3,0,0,22,,
1101,4,25,0,BERGUM,34,13,10,29,0,5,22,6483646,319563
1101,5,1,0,MYKLEBUST,24,0,0,18,0,6,22,6484232,320858
1101,5,2,0,GAMLEHAUGEN,4,3,26,4,0,0,22,6484642,321660
1101,5,3,0,MYKLEBUST,22,0,0,19,0,3,22,6484296,320983
1101,5,5,0,MYKLEBUST,18,0,0,18,0,0,22,6484408,321197
1101,5,6,0,MYKLEBUST,7,13,0,7,0,0,22,0,0
1101,5,7,0,MYKLEBUST,14,2,0,12,0,2,22,6484304,320740
1101,5,8,0,MYKLEBUST,14,0,0,8,0,6,22,6484439,321278
1101,5,10,0,MYKLEBUST,14,0,0,8,0,6,22,6484203,320706
1101,5,12,0,MYKLEBUST,4,2,0,4,0,0,22,6484370,320925
1101,5,13,0,MYKLEBUST,1,0,0,1,0,0,22,6484431,320982
1101,5,14,0,MYKLEBUST,73,0,0,18,0,55,22,6484104,320637
1101,5,15,0,MYKLEBUST,15,3,0,12,0,3,22,6484225,320637
1101,5,16,0,MYKLEBUST,2,0,0,1,0,1,22,6484325,321105
1101,5,17,0,MYKLEBUST,7,354,2,7,0,0,22,6484564,321327
1101,5,19,0,MYKLEBUST,2,4,0,2,0,0,22,,
1101,5,20,0,MYKLEBUST,24,0,0,21,0,3,22,6484319,320619
1101,5,23,0,MYKLEBUST,68,0,0,9,0,59,22,6484155,320666
1101,5,24,0,MYKLEBUST,17,0,0,12,0,5,22,6484234,320776
1101,5,28,0,MYKLEBUST,15,0,0,15,0,0,22,6484404,321042
1101,5,30,0,MYKLEBUST,17,0,0,17,0,0,22,6484429,321126
1101,5,31,0,MYKLEBUST,17,500,1,14,0,3,22,6484189,320551
1101,5,36,0,SOLHØI,12,2,0,9,0,3,22,6484351,320847
1101,5,41,0,SOLBAKKEN,3,1,0,3,0,0,22,6484300,320903
1101,5,49,0,BØRSEN,2,0,0,2,0,0,22,6484232,320888
1101,6,1,0,SKJELBREID,40,0,0,35,0,5,22,6484689,322224
1101,6,3,0,SKJELBREID,43,165,10,22,0,21,22,6484791,322080
1101,6,6,0,SKJELBREID,20,8,3,20,0,0,22,,
1101,6,8,0,SKJELBREID,7,0,0,7,0,0,22,6484526,321889
1101,6,9,0,SKJELBREID,72,0,0,46,4,22,22,6484343,321983
1101,6,14,0,SKJELBREID,11,0,0,11,0,0,22,6484716,321960
1101,6,38,0,,0,2,0,0,0,0,22,,
1101,7,1,0,LEIDLAND,9,84,6,7,0,2,22,6484397,322935
1101,7,2,0,LEIDLAND,8,107,6,8,0,0,22,6484282,322809
1101,7,3,0,LEIDLAND,11,189,2,8,3,0,22,6484400,322702
1101,7,4,0,LEIDLAND,14,282,6,14,0,0,22,6484250,322729
1101,7,7,0,,2,2,2,2,0,0,22,0,0
1101,7,9,0,LEIDLAND,21,147,26,21,0,0,22,6484378,322592
1101,7,10,0,LEIDLAND,19,0,1,18,0,1,22,6484534,322849
1101,7,11,0,LEIDLAND,23,205,5,21,0,2,22,6484601,322289
1101,7,14,0,LEIDLAND,11,1,29,11,0,0,22,6484491,322568
1101,7,20,0,LEIDLAND,11,0,3,5,0,6,22,6484656,322566
1101,7,21,0,LEIDLAND,8,1,13,8,0,0,22,6484500,322307
1101,7,29,0,LEIDLAND,9,91,10,9,0,0,22,6484372,322738
1101,7,30,0,LEIDLAND,13,5,11,6,0,7,22,6484641,322472
1101,7,50,0,LEIDLAND,8,72,24,8,0,0,22,6484310,322759
1101,7,62,0,FJELLHEIM,0,2,0,0,0,0,22,0,0
1101,7,64,0,SOLKROGEN II,13,2,0,11,0,2,22,6484573,322670
1101,7,309,0,,0,51,0,0,0,0,22,6483706,323101
1101,7,762,0,LEIDLAND,0,1,3,0,0,0,22,,
1101,8,3,0,HOVLAND,9,0,0,5,0,4,22,6480907,323417
1101,8,10,0,HOVLAND,40,32,0,13,0,27,22,6481000,323292
1101,8,15,0,HOVLAND,47,43,3,10,0,37,22,6480851,323521
1101,8,18,0,HOVLAND,0,11,0,0,0,0,22,6480923,323505
1101,8,24,0,HOVLAND,15,3,0,15,0,0,22,6481079,323383
1101,8,25,0,HOVLAND,0,4,0,0,0,0,22,6480733,323861
1101,8,26,0,HOVLAND,15,2,0,0,0,15,22,6481064,323652
1101,8,32,0,HOVLAND,14,50,8,13,0,1,22,6481131,323533
1101,8,33,0,HOVLAND,15,10,8,15,0,0,22,6481073,323454
1101,8,36,0,TANGEN,35,449,19,0,0,35,22,6480184,323909
1101,8,38,0,HOVLAND,13,10,0,3,0,10,22,6480763,323448
1101,8,40,0,HOVLAND,16,10,0,15,0,1,22,6480863,323412
1101,8,64,0,SJØSTRANN,0,0,0,0,0,0,22,6480981,323787
1101,8,125,0,SKOGHEIM,0,1,1,0,0,0,22,,
1101,8,141,0,STRANDABAKKEN,0,0,3,0,0,0,22,,
1101,9,1,0,SÆSTAD,22,292,1,11,0,11,22,6480864,322972
1101,9,4,0,SÆSTAD,24,245,0,14,0,10,22,6480849,323004
1101,9,6,0,SÆSTAD,79,410,6,28,0,51,22,,
1101,9,7,0,SÆSTAD,42,311,2,10,0,32,22,6480876,323023
1101,9,8,0,SÆSTAD,33,205,1,11,6,16,22,6481073,323158
1101,10,1,0,LØYNING,56,0,0,22,0,34,22,6480617,322550
1101,10,2,0,LØYNING,115,0,36,27,0,88,22,6480565,322473
1101,10,3,0,LØYNING,152,1074,35,79,0,73,22,6480764,322666
1101,10,5,0,LØYNING,97,369,1,32,0,65,22,6480696,322752
1101,10,7,0,LØYNING,42,451,7,22,0,20,22,6480785,322052
1101,11,1,0,AUGLEND,26,0,0,9,0,17,22,6479111,323393
1101,11,2,0,AUGLEND,7,0,0,6,0,1,22,6478852,323293
1101,11,3,0,AUGLEND,52,448,10,9,0,43,22,6479053,323426
